,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
1180,DAS,Công nghiệp nặng,2018.0,1.972514,-0.01967,24.346759,-1384.866816,0.440757,0.637131,0.025459,0.045691,0.206638,0.691784,1.794727,0.625688,1.671568,0.011418,3.196553,-0.006241,5.524121,11.782878,0.084869,0.066922,-5.372288,0.181024,1.373801,0.148177,0.73562,0.748504,0.577138,2.291776
1181,DAS,Công nghiệp nặng,2019.0,1.982696,-0.017595,8.991691,-1102.553649,0.491857,0.771018,0.033317,0.064891,0.092515,0.637933,1.947708,0.581535,1.389688,0.023308,6.305773,-0.013313,13.102677,69.660279,0.014355,0.111517,-12.875951,0.07632,0.024826,0.530328,1.456237,-0.588838,0.798421,1.174353
1182,DAT,Sản xuất thực phẩm,2016.0,1.932265,0.027817,57.907214,-4550.797107,0.038531,0.062067,0.083731,0.198512,0.273604,0.620797,2.370829,0.589088,1.43361,0.059372,1.755639,-0.004077,22.379021,3.151593,0.3173,0.058407,-20.863178,0.044685,,,,,,
1183,DAT,Sản xuất thực phẩm,2017.0,1.939377,0.019049,71.892189,-6871.385778,0.102635,0.181429,0.130629,0.281732,0.201105,0.565702,2.156731,0.640285,1.779981,0.02239,1.208179,-0.003082,10.582123,5.400629,0.185145,0.065742,-9.941577,0.09449,2.214238,0.358232,0.531626,-0.113057,0.544185,0.040832
1184,DAT,Sản xuất thực phẩm,2018.0,1.926343,0.038458,59.56631,-7524.771,0.131603,0.248947,0.068378,0.142565,0.184321,0.528637,2.084948,0.614544,1.594327,0.056507,1.202251,-0.014126,8.81774,6.295749,0.158832,0.08544,-8.168516,0.113404,0.326227,0.344195,0.089697,-0.05202,0.037619,1.231078
1185,DAT,Sản xuất thực phẩm,2019.0,1.949723,0.027818,64.80083,-18251.57369,0.030193,0.043185,0.113467,0.209252,0.401974,0.699136,1.844166,0.625894,1.673037,0.069768,1.710325,-0.011776,52.419446,3.937254,0.253983,0.079567,-49.784117,0.019077,-0.73569,0.072887,0.610874,1.512483,-0.095031,0.136521
1186,DBC,Sản xuất thực phẩm,2016.0,1.850565,0.05944,20.631552,-1852.212217,0.350436,0.6002,0.050594,0.10638,0.127906,0.583866,2.102603,0.576953,1.363804,0.075,2.38453,-0.030581,3.228599,8.845675,0.110558,0.147385,-2.808023,0.302905,,,,,,
1187,DBC,Sản xuất thực phẩm,2017.0,1.854403,0.047069,42.771441,-3744.812305,0.291574,0.61235,0.032316,0.065232,0.095158,0.476156,2.018595,0.641932,1.792763,0.02839,0.964427,-0.031445,2.873323,8.804137,0.111596,0.109236,-2.49868,0.341942,0.051719,-0.063146,-0.064142,-0.059596,0.151601,-0.258812
1188,DBC,Sản xuất thực phẩm,2018.0,1.823423,0.058007,29.814415,-3879.861973,0.323523,0.716346,0.017965,0.036808,0.050931,0.451629,2.048931,0.671075,2.040206,0.043142,0.893254,-0.01206,2.470665,15.693986,0.062582,0.129188,-2.071347,0.39753,0.325609,0.412915,0.098899,-0.360562,0.319144,0.404713
1189,DBC,Sản xuất thực phẩm,2019.0,1.824694,0.047161,24.304854,-4581.892939,0.326133,0.714559,0.017232,0.034294,0.055446,0.456411,1.990159,0.684531,2.169881,0.036298,0.817537,-0.013193,2.297381,13.513138,0.072855,0.121618,-1.924471,0.42853,0.157998,0.081415,0.075886,0.250558,0.156802,-0.124548
1190,DBD,Dược phẩm,2016.0,1.607069,0.126972,50.120902,-68.778614,0.161142,0.225892,0.094508,0.221429,0.265184,0.713357,2.342964,0.461026,0.890326,0.108786,2.034424,-0.046304,5.992158,3.641195,0.263667,0.355026,-3.788967,0.16022,,,,,,
1191,DBD,Dược phẩm,2017.0,1.614965,0.146179,104.074005,-280.442724,0.187734,0.2599,0.062492,0.147146,0.266366,0.722332,2.354628,0.460552,0.881845,0.132154,0.993123,-0.048614,4.788696,3.375056,0.281818,0.317754,-3.096119,0.198625,0.254318,-0.036384,0.024954,0.081445,-0.127362,0.154034
1192,DBD,Dược phẩm,2018.0,1.66003,0.143474,110.2446,-353.526689,0.188051,0.26412,0.064529,0.186111,0.303283,0.711991,2.884142,0.37905,0.626307,0.173868,1.000711,-0.043799,5.194192,3.220664,0.295119,0.298484,-3.606939,0.182989,-0.069569,-0.127467,0.083941,0.057598,-0.192584,-0.009457
1193,DBD,Dược phẩm,2019.0,1.641127,0.137761,128.175272,-346.54318,0.193124,0.304204,0.085256,0.238083,0.278386,0.63485,2.792554,0.424574,0.753081,0.173863,0.873748,-0.03479,4.031504,2.79676,0.341512,0.25596,-2.706139,0.236916,0.160303,-0.03114,-0.129472,0.037076,0.058398,-0.135286
1194,DBH,Xây dựng và Vật liệu,2016.0,1.882271,0.079875,4.490562,,0.046951,0.108444,0.36004,0.817534,0.071683,0.432952,2.270673,0.465604,0.462219,0.017097,5.829853,-0.004416,62.048983,40.64078,0.024606,0.342977,-54.744007,0.016116,,,,,,
1195,DBH,Xây dựng và Vật liệu,2017.0,2.300619,-0.349813,17.177396,,0.047322,0.128938,0.271199,0.39728,0.129506,0.367011,1.464902,0.705995,0.696199,0.035379,2.938199,-0.009009,44.982502,16.436673,0.06084,-0.639913,-58.505075,0.022231,0.019775,-2.887752,0.089837,0.827938,-0.029836,-4.237731
1196,DBH,Xây dựng và Vật liệu,2018.0,2.621482,-0.671201,19.93511,,0.048099,0.185151,0.186478,0.246061,0.082735,0.25978,1.319513,0.789425,0.603121,0.04611,3.401965,-0.007888,47.551623,27.644425,0.036174,-1.421434,-77.104112,0.02103,-0.212255,0.721553,0.038173,-0.504876,-0.062138,0.597806
1197,DBH,Xây dựng và Vật liệu,2019.0,2.614809,-0.665632,119.110271,,0.021284,0.030673,0.021041,0.063143,0.687715,0.693894,3.001005,0.348252,0.534335,0.039405,2.579322,-0.016857,52.395092,1.621577,0.616683,-0.685625,-84.608083,0.019086,-0.087444,-0.00529,0.001369,16.141737,0.007186,-0.002836
1198,DBM,Dược phẩm,2016.0,1.872074,0.027529,13.755656,-21.633528,0.323945,0.353825,0.236232,0.590044,0.238196,0.915551,2.497735,0.400363,0.667675,0.140874,6.383227,-0.036193,9.755405,13.267269,0.075318,0.402258,-8.513655,0.102432,,,,,,
1199,DBM,Dược phẩm,2017.0,1.882924,0.025906,34.224506,-54.347204,0.377907,0.402477,0.182226,0.390664,0.294957,0.938953,2.143842,0.466452,0.874247,0.12078,2.907723,-0.032231,6.976087,8.937961,0.111699,0.304828,-6.169465,0.143112,0.39331,-0.094928,0.009669,0.478963,-0.103388,-0.062409
1200,DBM,Dược phẩm,2018.0,1.880563,0.028131,44.934745,-46.745703,0.35248,0.374891,0.136664,0.325232,0.354599,0.94022,2.379801,0.420203,0.724742,0.099393,2.657965,-0.028182,7.751497,7.705173,0.129504,0.321146,-6.840392,0.12873,-0.135221,-0.023205,-0.041177,0.11464,-0.039582,0.043445
1201,DBM,Dược phẩm,2019.0,1.880772,0.026811,39.773466,-32.407649,0.336128,0.354999,0.210068,0.532169,0.249642,0.946841,2.533322,0.394739,0.652179,0.106556,2.80367,-0.028692,8.214212,11.059944,0.090393,0.328554,-7.236743,0.121708,-0.039588,0.030368,0.016061,-0.290966,0.042057,-0.030005
1202,DBT,Dược phẩm,2016.0,1.751916,0.04645,46.785715,-545.930726,0.336441,0.465627,0.076214,0.108842,0.279816,0.722555,1.428108,0.700549,2.340177,0.074598,2.227918,-0.040961,3.244244,3.900763,0.254371,0.264365,-2.458476,0.305847,,,,,,
1203,DBT,Dược phẩm,2017.0,1.758634,0.021146,73.062995,-828.921548,0.292391,0.401381,0.110474,0.185934,0.277939,0.728463,1.683056,0.594318,1.465276,0.073122,1.4584,-0.026273,4.434778,4.66538,0.211822,0.30126,-3.404447,0.222836,0.008273,0.322089,0.396236,0.152389,0.529461,-0.372539
1204,DBT,Dược phẩm,2018.0,1.759826,0.023047,88.664384,-846.966699,0.281865,0.392011,0.074434,0.121827,0.333093,0.719024,1.636706,0.611588,1.574915,0.055712,1.296401,-0.020112,4.460915,3.774844,0.261928,0.291105,-3.428135,0.221644,-0.03545,-0.033157,-0.028739,0.199126,-0.061311,0.057449
1205,DBT,Dược phẩm,2019.0,1.754846,0.036753,88.835134,-953.491606,0.407118,0.534742,0.044517,0.068124,0.248026,0.761335,1.530282,0.66685,2.002068,0.050014,1.209363,-0.022797,2.705015,4.4401,0.223147,0.262254,-2.060842,0.36628,0.670339,0.041835,0.004133,-0.138894,-0.004496,0.615199
1206,DBW,Nước & Khí đốt,2016.0,1.815246,-0.001906,52.767218,,0.010495,0.14445,0.028568,0.948464,0.033681,0.072655,33.200285,0.08119,0.088365,0.0,0.241978,-0.000392,11.099564,3.458587,0.289135,0.021522,-9.048878,0.090094,,,,,,
1207,DBW,Nước & Khí đốt,2017.0,1.794159,0.020176,79.856927,,0.015239,0.323529,0.008216,0.332365,0.023549,0.047103,40.455464,0.069485,0.074674,0.0,0.132732,-0.00068,8.645327,5.594667,0.178742,0.027119,-6.865767,0.115669,0.434202,0.244583,0.08819,-0.309426,0.051266,-12.826193
1208,DBW,Nước & Khí đốt,2018.0,1.809023,0.017499,77.92796,,0.009694,0.130379,0.035704,1.415339,0.032821,0.07435,39.640398,0.064155,0.068553,0.0,0.133462,-0.000756,13.608046,4.019186,0.248807,0.025192,-11.009225,0.073486,-0.362744,-0.069369,0.021836,0.396253,-0.102625,-0.130019
1209,DBW,Nước & Khí đốt,2019.0,1.795365,0.019436,69.225699,,0.013326,0.144041,0.060851,2.735226,0.019319,0.092513,44.949487,0.05799,0.06156,0.003354,0.13969,-0.00089,10.229727,7.056258,0.141718,0.027895,-8.136363,0.097754,0.392983,0.122056,0.029484,-0.403545,0.147896,0.16305
1210,DC1,Xây dựng và Vật liệu,2016.0,1.89855,0.054469,33.984179,,0.483433,0.52191,0.053765,0.065328,0.414809,0.926276,1.215066,0.823001,4.649738,0.010093,4.467174,-0.14176,4.607845,5.370146,0.186215,0.225989,-4.140378,0.217021,,,,,,
1211,DC1,Xây dựng và Vật liệu,2017.0,1.899336,0.039687,90.315388,,0.34848,0.414672,0.000455,0.000549,0.504059,0.840375,1.206432,0.836183,5.104366,0.054435,1.908235,-0.075755,4.499158,3.110483,0.319479,0.148935,-4.071772,0.220871,0.099938,0.005628,0.081712,0.854214,0.24917,-0.217476
1212,DC1,Xây dựng và Vật liệu,2018.0,1.926888,0.010747,126.39139,,0.324761,0.398264,0.056792,0.073275,0.438083,0.815441,1.290229,0.794058,3.855748,0.048606,1.393784,-0.049106,3.513477,2.604622,0.382359,0.07907,-3.270006,0.283452,0.333947,-0.240083,0.071281,0.24402,0.076602,-0.717901
1213,DC1,Xây dựng và Vật liệu,2019.0,1.91722,0.031957,107.47825,,0.386766,0.460706,0.009369,0.012302,0.451261,0.839506,1.312979,0.768392,3.317649,0.051571,1.511275,-0.045196,4.05534,3.475745,0.287708,0.129837,-3.71964,0.246588,0.104308,0.522629,0.256153,-0.044838,0.104354,2.790012
1214,DC2,Xây dựng và Vật liệu,2016.0,1.932522,0.023203,36.563174,,0.465865,0.578155,0.009884,0.017187,0.350726,0.805779,1.738961,0.618293,1.619811,0.039755,3.504368,0.0,3.75774,4.991361,0.200346,0.118127,-3.504174,0.266117,,,,,,
1215,DC2,Xây dựng và Vật liệu,2017.0,1.8863,0.032345,125.567588,,0.465129,0.52868,0.016906,0.025774,0.399781,0.879794,1.524567,0.679294,2.118118,0.037113,1.097959,0.0,2.152839,2.504742,0.399243,0.113854,-1.90806,0.464503,0.210879,0.168916,-0.340663,0.382425,0.254465,-0.032944
1216,DC2,Xây dựng và Vật liệu,2018.0,2.0211,-0.127198,145.761987,,0.244734,0.310606,0.006682,0.010389,0.527578,0.787924,1.554727,0.663314,1.970123,-0.175358,1.119125,0.0,6.391864,2.965076,0.33726,-0.033007,-6.526734,0.156449,-0.708587,-1.160565,-0.003188,-0.269109,0.133917,-4.402482
1217,DC2,Xây dựng và Vật liệu,2019.0,1.910836,0.027288,109.707086,,0.271738,0.309205,0.090348,0.10867,0.53732,0.878827,1.202787,0.841513,5.309685,-0.015757,1.824262,-0.028447,4.388395,2.219336,0.450585,0.106328,-3.997107,0.227874,2.262924,-10.466506,0.998282,1.992939,0.52604,-1.480589
1218,DC4,Xây dựng và Vật liệu,2016.0,1.905821,0.041876,87.174249,-45068.262445,0.55915,0.590112,0.030527,0.045061,0.379006,0.947533,1.476101,0.699045,2.322751,0.025576,1.590804,-0.023325,1.419031,2.093508,0.477667,0.074726,-1.285389,0.704706,,,,,,
1219,DC4,Xây dựng và Vật liệu,2017.0,1.903198,0.038527,168.553737,-88567.368012,0.560411,0.592109,0.037735,0.056515,0.375974,0.946467,1.497683,0.742918,2.889808,0.027919,0.821847,-0.021029,1.312587,1.956485,0.508787,0.068159,-1.190963,0.758376,0.252005,0.139407,0.160031,0.239196,0.203461,0.065461
1220,DC4,Xây dựng và Vật liệu,2018.0,1.92305,0.035565,129.037424,-74646.303924,0.584783,0.649761,0.04321,0.080125,0.278549,0.899998,1.854321,0.586252,1.416931,0.044948,0.946022,-0.026713,1.572449,3.30118,0.302922,0.070758,-1.45145,0.635951,0.055726,0.050309,0.286633,-0.250439,-0.038951,0.167499
1221,DC4,Xây dựng và Vật liệu,2019.0,1.886379,0.074657,136.553983,-29247.595328,0.467844,0.577558,0.047084,0.101621,0.312182,0.810038,2.158307,0.487652,0.951798,0.041807,0.810061,-0.019413,1.313044,1.967759,0.508192,0.069797,-1.163855,0.761589,0.511225,0.863298,0.211786,1.11704,0.199585,1.649001
1222,DCF,Xây dựng và Vật liệu,2016.0,1.879916,0.021254,40.294755,,0.099153,0.127126,0.17004,0.362964,0.453663,0.77996,2.134584,0.468922,0.882962,0.043151,4.141236,-0.021807,20.722448,4.529126,0.220793,0.246736,-18.234017,0.048257,,,,,,
1223,DCF,Xây dựng và Vật liệu,2017.0,1.876265,-0.076757,233.047543,,0.266718,0.356024,0.030871,0.078029,0.354097,0.749155,2.527542,0.396918,0.65815,0.012282,0.694657,-0.002033,2.652471,1.99793,0.500518,0.087538,-2.324268,0.377007,1.22157,-0.706994,-0.716819,-0.35538,-0.417891,-2.02695
1224,DCF,Xây dựng và Vật liệu,2018.0,1.930005,-0.058578,92.367203,,0.043625,0.06218,0.249327,0.841685,0.28522,0.701586,3.37583,0.296223,0.420905,-0.051931,1.305964,-0.001465,34.769493,5.318026,0.18804,0.106168,-32.335815,0.028761,-0.879958,-0.10987,0.670055,-0.408832,0.007352,0.200869
1225,DCF,Xây dựng và Vật liệu,2019.0,1.826633,0.021692,132.564146,,0.098736,0.133752,0.028205,0.118246,0.47289,0.738204,4.192415,0.27707,0.38326,-0.059824,1.054312,-0.000495,10.712752,2.23675,0.447077,0.183377,-8.855513,0.093347,1.18511,0.667546,-0.401584,0.600696,-0.009584,-1.249318
1226,DCG,Hàng cá nhân,2016.0,1.869399,0.025008,12.571575,-192.061135,0.02661,0.043724,0.090023,0.136698,0.188609,0.608601,1.518473,0.660675,1.947027,0.048232,5.569823,-0.065916,102.893497,14.516876,0.068497,0.344074,-89.963362,0.009664,,,,,,
1227,DCG,Hàng cá nhân,2017.0,1.821557,0.058966,23.467843,-434.048032,0.044933,0.071785,0.136349,0.213831,0.125098,0.625931,1.568265,0.639753,1.775871,0.049081,2.466449,-0.060155,54.273795,19.493997,0.051298,0.435162,-44.589039,0.018425,0.6896,0.265522,-0.162574,-0.33632,0.058836,1.101427
1228,DCG,Hàng cá nhân,2018.0,1.772433,0.085965,23.507015,-301.322115,0.045206,0.076883,0.128952,0.214442,0.139875,0.587982,1.662967,0.604262,1.526927,0.065116,2.087714,-0.073063,44.313121,14.321308,0.069826,0.455861,-34.228939,0.022567,0.06526,0.109194,-0.182249,0.183903,0.02935,0.267997
1229,DCG,Hàng cá nhân,2019.0,1.777604,0.06268,28.652288,-285.889152,0.025032,0.041068,0.155123,0.259392,0.139586,0.609521,1.672174,0.633664,1.729732,0.048442,1.831552,-0.04531,65.99061,11.833871,0.084503,0.367364,-51.314549,0.015154,-0.353221,-0.058708,-0.030377,0.165632,0.113187,-0.297722
1230,DCH,Tư vấn & Hỗ trợ Kinh doanh,2016.0,1.760417,0.091021,90.793027,-192.486064,0.094705,0.145585,0.306829,0.643177,0.360538,0.650513,2.096206,0.477052,0.912238,0.027301,1.472001,-0.025361,7.65224,2.010066,0.497496,0.173627,-5.818892,0.130681,,,,,,
1231,DCH,Tư vấn & Hỗ trợ Kinh doanh,2017.0,1.733508,0.100621,185.417664,-474.038136,0.069347,0.106683,0.21683,0.520555,0.28216,0.650026,2.400756,0.416535,0.7139,0.053309,0.645136,-0.022085,9.37107,2.30314,0.43419,0.173181,-6.873756,0.106711,-0.30174,-0.048858,-0.175157,-0.25371,-0.044274,-0.054713
1232,DCH,Tư vấn & Hỗ trợ Kinh doanh,2018.0,1.767961,0.097497,197.945928,-816.262819,0.03999,0.100055,0.172647,0.546634,0.270551,0.399677,3.166198,0.315836,0.461638,0.041471,0.532891,-0.015625,14.083642,2.081687,0.48038,0.130685,-10.815693,0.071004,-0.521884,-0.374344,-0.247696,-0.205006,-0.294764,-0.30376
1233,DCH,Tư vấn & Hỗ trợ Kinh doanh,2019.0,1.792522,0.072728,202.449542,-327.654751,0.027533,0.062705,0.194074,1.09752,0.313208,0.43908,5.655163,0.17683,0.214815,0.035021,0.559498,-0.015803,20.932687,1.840089,0.543452,0.119576,-16.589621,0.047772,-0.42883,-0.240922,-0.123913,-0.039601,-0.106792,-0.366736
1234,DCI,Hóa chất,2016.0,1.870509,0.016419,29.051744,-186.155121,0.388779,0.498029,0.014304,0.034535,0.180203,0.780635,2.414328,0.414194,0.70705,0.162417,2.308237,-0.008664,2.911723,6.281894,0.158407,0.141731,-2.547169,0.341756,,,,,,
1235,DCI,Hóa chất,2017.0,1.909179,0.006547,49.617855,-1040.552304,0.522872,0.670542,0.101668,0.16106,0.13938,0.779776,1.584179,0.632608,1.721886,0.040408,1.244016,-0.042211,2.494792,9.358994,0.106836,0.118321,-2.268501,0.400784,0.125805,-0.301175,0.002639,-0.352546,-0.215115,-0.615366
1236,DCI,Hóa chất,2018.0,1.902752,0.022784,46.392058,-3150.268835,0.533457,0.617794,0.031877,0.041849,0.299286,0.863488,1.312803,0.764423,3.2449,0.039309,1.759724,-0.044354,3.177895,5.664377,0.17653,0.164759,-2.869043,0.314653,0.080095,0.47416,0.366029,1.273234,0.177139,3.788088
1237,DCI,Hóa chất,2019.0,1.894345,0.026484,58.023262,-2507.376592,0.359142,0.480976,0.134426,0.164857,0.23223,0.746694,1.226383,0.818839,4.519939,0.051209,1.71266,-0.056669,5.373553,8.310163,0.120323,0.203735,-4.806271,0.186079,-0.471632,-0.029524,-0.114869,-0.391023,-0.065559,0.038511
1238,DCL,Dược phẩm,2016.0,1.656787,0.152634,62.089084,-321.19912,0.224677,0.293731,0.013143,0.059928,0.296918,0.764907,4.559644,0.223263,0.287438,0.111807,1.828217,-0.034904,3.884418,2.939325,0.33088,0.283365,-2.623206,0.250376,,,,,,
1239,DCL,Dược phẩm,2017.0,1.663665,0.115402,123.114493,-534.662592,0.207765,0.345262,0.016312,0.074175,0.217243,0.601761,4.547156,0.351623,0.584062,0.136612,0.779506,-0.031796,3.016555,2.884952,0.341937,0.205089,-2.029435,0.32702,0.335759,0.045465,0.033406,0.056872,0.292597,-0.215713
1240,DCL,Dược phẩm,2018.0,1.733439,0.025261,132.675566,-563.999628,0.172131,0.239023,0.013059,0.066167,0.184492,0.720145,5.066896,0.534859,1.149884,0.085924,0.589366,-0.009104,2.699074,2.518235,0.393103,0.120375,-1.999754,0.366765,0.17434,-0.168044,0.157165,0.20376,0.352573,-0.769993
1241,DCL,Dược phẩm,2019.0,1.746468,0.137972,166.639403,-768.725832,0.132605,0.164957,0.008467,0.044387,0.214495,0.803878,5.242572,0.48354,0.93626,0.13845,0.521046,-0.020046,3.311639,2.047322,0.485446,0.109312,-2.487293,0.300112,-0.237842,-0.101583,-0.052029,0.150226,-0.093568,4.107502
1242,DCM,Hóa chất,2016.0,1.723188,0.128857,25.84861,-930.856047,0.029124,0.095605,0.063329,0.336941,0.054139,0.304627,5.320456,0.544568,1.195719,0.02868,0.821949,-0.005906,13.124569,7.060341,0.139882,0.102342,-9.61056,0.075249,,,,,,
1243,DCM,Hóa chất,2017.0,1.748581,0.11765,44.651651,-1693.227609,0.029757,0.076604,0.152229,0.750867,0.057066,0.388459,4.932498,0.505986,1.024233,0.04772,0.47466,-0.006167,15.506699,8.086028,0.121863,0.110893,-11.780123,0.063546,-0.009242,0.050689,0.214419,0.022097,-0.092814,0.068778
1244,DCM,Hóa chất,2018.0,1.7693,0.104175,41.27316,-1948.173404,0.089083,0.22755,0.025907,0.092276,0.072706,0.391489,3.561774,0.431683,0.759581,0.056755,0.597591,-0.00752,6.807498,8.340862,0.117468,0.130279,-5.345054,0.143928,1.651039,0.040365,0.202869,0.128258,0.054174,0.030519
1245,DCM,Hóa chất,2019.0,1.847727,0.059361,40.103638,-1941.381013,0.127905,0.306144,0.046318,0.14278,0.073302,0.417793,3.082606,0.399728,0.665911,0.042157,0.693488,-0.005791,5.412991,9.44517,0.103903,0.094292,-4.675787,0.181301,0.324108,-0.332531,0.158313,-0.070233,-0.271,-0.400058
1246,DCR,Xây dựng và Vật liệu,2017.0,1.78504,0.005245,23.681087,-598.706452,0.510686,0.694256,0.063945,0.107833,0.16259,0.735587,1.686344,0.627559,1.684988,-0.015345,2.507185,-0.00859,2.453585,7.706572,0.12971,0.268973,-1.926895,0.407412,,,,,,
1247,DCR,Xây dựng và Vật liệu,2018.0,1.74011,0.001576,50.464911,-1291.027834,0.659836,0.840092,0.030639,0.048353,0.101477,0.785434,1.578158,0.654629,1.895435,-0.012536,0.949288,-0.002152,1.378617,8.964184,0.111338,0.235099,-1.022318,0.723953,0.399923,-0.052969,-0.257268,-0.323765,-0.036184,-0.763709
1248,DCR,Xây dựng và Vật liệu,2019.0,1.773679,0.014422,28.550961,-1216.469186,0.671352,0.854066,0.039752,0.063057,0.071779,0.786066,1.586263,0.679799,2.123039,0.000114,1.098777,-0.010356,1.547513,14.473945,0.068972,0.23376,-1.199319,0.645098,0.13767,0.111786,0.334643,-0.209084,0.04712,10.689036
1249,DCS,Hàng gia dụng,2016.0,1.918465,0.080772,658.15866,-5831.288833,0.129683,0.15684,0.076224,0.718244,1.02176,0.826848,9.422774,0.108256,0.121398,0.027282,0.595935,-0.004647,2.184734,0.277289,3.606349,0.023101,-2.006602,0.457722,,,,,,
1250,DCS,Hàng gia dụng,2017.0,2.051577,0.018382,1739.250528,-7667.82433,0.107098,0.119827,0.042838,0.778909,1.043825,0.893771,18.182469,0.054998,0.058199,0.024991,0.240315,0.0,2.0881,0.214243,4.667608,-0.011534,-2.195798,0.478904,-0.224016,-1.469159,-0.150851,-0.040087,-0.098797,-0.831216
1251,DCS,Hàng gia dụng,2018.0,2.051521,0.000401,4311.85365,-9101.501486,0.098176,0.10845,0.003622,0.048362,0.930323,0.905267,13.351728,0.075219,0.081337,0.023436,0.099763,-6.9e-05,0.841953,0.088851,11.25484,-0.004259,-0.885331,1.187715,-0.064322,-0.623136,-0.622741,-0.090279,-0.226603,-0.991779
1252,DCS,Hàng gia dụng,2019.0,2.493172,-0.065158,8454.022442,-358723.16231,0.099633,0.109947,0.004404,0.078904,0.89928,0.906193,17.917383,0.055812,0.059111,0.02413,0.068,0.0,0.400604,0.044384,22.530855,-0.019684,-0.598171,2.496231,-0.005807,3.528109,-0.328277,-0.053029,-0.319068,-77.9473
1253,DCT,Xây dựng và Vật liệu,2016.0,2.06596,-0.450786,71.853754,-13700.039867,0.055457,0.303016,0.002505,0.013183,0.122255,0.183016,5.263387,1.013775,-73.597338,-0.42607,0.857816,0.0,5.599189,2.539881,0.390066,-0.023582,-6.024414,0.17694,,,,,,
1254,DCT,Xây dựng và Vật liệu,2017.0,2.070774,-0.463327,102.252728,-33234.875571,0.034393,0.253227,0.007837,0.031272,0.108277,0.13582,3.990243,1.233497,-5.282708,-0.748643,0.418814,0.0,13.545704,4.302695,0.230523,-0.037062,-14.6233,0.073224,-0.503636,0.257874,0.204843,-0.291158,0.221342,0.234222
1255,DCT,Xây dựng và Vật liệu,2018.0,1.821021,-0.007047,64.295641,-103124.988796,0.054943,0.387724,0.002373,0.004288,0.084718,0.141706,1.807266,1.231059,-5.327899,-0.770521,0.561865,0.0,10.23455,6.637505,0.148079,0.092597,-8.549209,0.096035,0.525467,-3.385805,-0.108167,-0.252853,-0.485513,-0.982469
1256,DCT,Xây dựng và Vật liệu,2019.0,1.810176,0.017224,107.854398,-153279.790625,0.034429,0.142901,0.002456,0.003114,0.209156,0.240928,1.267654,1.208655,-5.792608,-0.716988,0.514689,0.0,14.202898,2.337923,0.419807,0.085346,-11.724003,0.069104,-0.334993,-0.02187,-0.088039,1.620047,-0.150308,-3.255508
1257,DDG,Điện tử & Thiết bị điện,2016.0,1.8664,0.068148,150.57979,-521333.793824,0.12413,0.287911,0.009557,0.026853,0.64975,0.43114,2.809823,0.478796,0.918633,0.016632,1.575042,-0.020036,6.344054,1.211982,0.825095,0.105208,-5.496485,0.157628,,,,,,
1258,DDG,Điện tử & Thiết bị điện,2017.0,1.881436,0.054522,241.333744,,0.056738,0.150043,0.014919,0.044412,0.462249,0.378147,2.976873,0.541226,1.179724,0.04603,0.826892,-0.0179,13.244762,1.625718,0.615113,0.089099,-11.674408,0.075502,-0.441215,0.035304,0.186847,-0.130292,-0.030053,-0.06666
1259,DDG,Điện tử & Thiết bị điện,2018.0,1.869819,0.048184,212.69138,-1061227.458854,0.024095,0.052133,0.00169,0.003898,0.418203,0.462181,2.306466,0.640131,1.778792,0.05885,0.759645,-0.020146,26.898356,1.549746,0.642153,0.081638,-23.510164,0.036998,-0.41772,0.256327,0.172608,0.240505,0.542199,0.045077
1260,DDG,Điện tử & Thiết bị điện,2019.0,1.87759,0.052819,162.129825,-767916.723505,0.004746,0.016442,0.000641,0.002882,0.214334,0.288671,4.497082,0.753205,3.051947,0.058955,0.66233,-0.023204,112.721222,2.496177,0.399855,0.064602,-99.11038,0.008855,-0.684322,0.268123,0.330786,-0.178685,0.12616,0.450158
1261,DDH,Du lịch & Giải trí,2016.0,1.768012,0.035087,115.067199,,0.089559,0.179255,0.122353,0.476907,0.27437,0.499617,3.897806,0.256555,0.360036,0.01074,0.872098,-0.004335,4.858913,1.58603,0.630505,0.100952,-3.731701,0.205807,,,,,,
1262,DDH,Du lịch & Giải trí,2017.0,1.941827,0.008784,93.164983,,0.031642,0.069693,0.128293,0.549117,0.306069,0.454022,4.28017,0.233636,0.418814,0.013729,1.154972,-0.006424,32.096231,3.318207,0.301368,0.05908,-30.229101,0.031156,-0.543578,-0.243976,2.697304,0.441085,-0.254975,-0.245232
1263,DDH,Du lịch & Giải trí,2018.0,1.986446,-0.122756,115.518503,,0.036772,0.071451,0.155912,0.57883,0.323074,0.514643,3.712557,0.269356,0.445104,-0.121621,1.016855,0.0,31.422112,3.576417,0.279609,0.015661,-30.996221,0.031825,-0.128862,-0.801294,-0.106755,-0.208732,1.512607,-12.918739
1264,DDH,Du lịch & Giải trí,2019.0,1.714535,0.184597,58.477738,,0.07021,0.092967,0.496983,1.787637,0.190521,0.755216,3.596978,0.278011,0.385063,0.119003,1.569248,-0.045399,20.37208,7.507436,0.133201,0.408308,-14.556566,0.049087,1.303502,30.45419,0.08178,-0.288549,0.05632,-3.24579
