,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
4094,PTV,"Thiết bị, Dịch vụ và Phân phối Dầu khí",2017.0,1.942873,0.001105,55.425454,-3749.98599,0.143027,0.204877,0.183427,0.657005,0.291062,0.698115,3.581833,0.356232,0.553355,0.015397,1.735677,-0.007528,12.995703,6.386061,0.156591,0.106184,-12.253299,0.076949,-0.160648,-0.017835,0.111746,0.064448,-0.005216,-0.762268
4095,PTV,"Thiết bị, Dịch vụ và Phân phối Dầu khí",2018.0,1.94708,-0.042392,104.492207,-2038.05995,0.123215,0.1591,0.161511,0.416618,0.392564,0.774452,2.579504,0.486737,0.948319,-0.049695,1.221021,-0.007725,9.249012,2.903014,0.34447,0.060308,-8.759556,0.10812,-0.035362,-0.364029,-0.310406,0.510233,0.243523,-27.328976
4096,PTV,"Thiết bị, Dịch vụ và Phân phối Dầu khí",2019.0,1.92985,0.009613,130.286856,-1599.037961,0.049601,0.063445,0.077309,0.214946,0.545996,0.781799,2.780351,0.465792,0.871929,-0.048706,1.328672,-0.008077,26.83923,2.438229,0.410134,0.093389,-24.956445,0.037259,-0.609217,0.503224,0.113362,0.35016,-0.314803,-1.257154
4097,PTX,Nước & Khí đốt,2016.0,1.892916,0.007674,6.295024,-291.883226,0.099384,0.351849,0.015103,0.029344,0.154088,0.282461,1.94294,0.794067,3.85594,0.027543,8.940279,-0.037373,44.949044,28.991157,0.034493,0.478364,-40.135736,0.022247,,,,,,
4098,PTX,Nước & Khí đốt,2017.0,1.907291,0.007044,11.760293,-572.374279,0.060436,0.213923,0.007195,0.012428,0.207128,0.282512,1.727296,0.738373,2.822233,0.02946,5.642499,-0.031555,89.471663,26.106104,0.038305,0.501304,-81.176843,0.011177,-0.336943,0.142653,0.341072,0.465682,0.136606,0.211542
4099,PTX,Nước & Khí đốt,2018.0,1.921985,0.006564,12.121026,-746.786584,0.04494,0.169291,0.020318,0.030452,0.178577,0.265459,1.498781,0.77573,3.458905,0.025926,5.752525,-0.03459,112.78495,28.382902,0.035232,0.39542,-103.986053,0.008866,-0.025551,0.033666,0.248251,0.129822,0.026793,0.144619
4100,PTX,Nước & Khí đốt,2019.0,1.916972,0.006945,12.323612,-784.601883,0.089746,0.32183,0.010272,0.016379,0.162342,0.278863,1.594523,0.697991,2.311156,0.028602,5.049207,-0.025884,55.457246,30.658075,0.032618,0.413235,-50.852768,0.018032,1.052585,0.074121,0.003785,-0.065627,0.073765,0.067819
4101,PV2,Bất động sản,2016.0,3.185897,-1.95845,881.569006,,0.018194,0.085902,0.010465,0.32678,0.536337,0.211794,31.226972,0.032024,0.033083,-0.86107,0.255629,0.0,6.102776,0.207017,4.830515,-0.131671,-13.340042,0.16386,,,,,,
4102,PV2,Bất động sản,2017.0,1.909,0.235685,1945.916061,,0.02494,0.095497,0.025909,0.313895,0.515587,0.261163,12.115413,0.082539,0.089965,-0.774935,0.117583,0.0,3.804999,0.184058,5.433073,0.008636,-3.458742,0.262812,0.481521,-1.070881,-0.615878,0.038931,-0.945987,-1.111162
4103,PV2,Bất động sản,2018.0,1.296373,0.870315,2193.622778,,0.030746,0.122842,0.022926,0.27938,0.59666,0.250288,12.185928,0.082062,0.089398,-0.647156,0.115389,-0.008969,2.904706,0.149679,6.680949,0.062839,-0.860877,0.344269,0.333048,6.868519,-0.668206,0.251371,0.447056,2.757833
4104,PV2,Bất động sản,2019.0,1.653901,0.944368,4194.536685,,0.004324,0.01507,0.127235,0.776871,0.561927,0.286917,6.105788,0.163779,0.195856,-0.512403,0.080533,0.0,10.828172,0.083317,12.002289,0.016204,-7.080547,0.092352,-0.836798,-0.700749,0.342303,0.092958,-1.151543,-0.339851
4105,PVA,Xây dựng và Vật liệu,2016.0,1.01222,0.566959,2829.423856,,0.125625,0.178185,0.001047,0.001417,1.405697,0.705027,1.3539,0.951302,19.53469,-0.284709,0.183088,0.0,0.72174,0.064501,15.503692,0.089561,-0.00882,1.385541,,,,,,
4106,PVA,Xây dựng và Vật liệu,2017.0,1.250919,0.781562,185909.410746,,0.142563,0.205346,0.001763,0.002197,1.368805,0.694258,1.246342,1.043782,-23.840222,-0.424145,0.012224,0.0,0.020518,0.002137,467.939128,0.002191,-0.005148,48.736583,-0.009802,-0.978652,-0.421966,-0.150349,-0.788084,-0.961194
4107,PVA,Xây dựng và Vật liệu,2018.0,1.0,-0.971316,156084.358434,,0.146851,0.193969,0.001441,0.0019,1.188935,0.757086,1.318835,1.056203,-18.792492,-0.480569,0.024363,0.0,0.021691,0.002679,373.247368,0.003185,0.0,46.10148,-0.081681,0.296,-1.0,-0.225643,1.101966,-2.20651
4108,PVA,Xây dựng và Vật liệu,2019.0,,,,,0.14799,0.192471,0.000972,0.001298,1.183331,0.768897,1.335686,1.057668,-18.340667,-0.494876,0.001956,0.000163,0.0,0.0,,0.0,0.0,,-0.021843,-1.0,,-0.033948,-0.821785,-0.061164
4109,PVB,Hóa chất,2016.0,13.274236,-15.439185,1447.133914,,0.231426,0.299174,0.218886,1.010624,0.113532,0.77355,4.617117,0.216585,0.276463,0.236552,0.245787,-0.000269,0.061867,0.126111,7.929501,-0.161421,-0.759374,16.163619,,,,,,
4110,PVB,Hóa chất,2017.0,2.411211,-0.792753,268.795362,,0.344961,0.430094,0.184345,2.365087,0.164259,0.802059,12.829665,0.077944,0.084533,0.36806,0.487911,-0.002909,0.549666,1.154355,0.866285,-0.077971,-0.775695,1.819287,0.471397,-0.52319,0.50302,0.428177,0.330064,-0.328755
